2020-04-21 00:40:59.729 [warning] <0.617.0> Connection (<0.617.0>) closing: received hard error {'connection.close',320,<<"CONNECTION_FORCED - broker forced connection closure with reason 'shutdown'">>,0,0} from server
2020-04-21 00:41:00.235 [info] <0.59.0> SIGTERM received - shutting down
2020-04-21 08:06:15.361 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-21 08:06:15.365 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-21 08:06:15.372 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-21 08:06:15.374 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-21 08:06:15.375 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-21 08:06:15.377 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-21 08:06:15.378 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-21 08:06:15.392 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-21 08:06:15.392 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-21 08:06:15.398 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-21 08:06:15.400 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-21 08:06:15.400 [info] <0.44.0> Application rabbitmq started on node nonode@nohost
2020-04-21 08:06:17.389 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-21 08:06:17.393 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-21 08:06:17.400 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-21 08:06:17.402 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-21 08:06:17.403 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-21 08:06:17.405 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-21 08:06:17.406 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-21 08:06:17.420 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-21 08:06:17.420 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-21 08:06:17.425 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-21 08:06:17.427 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-21 08:06:17.427 [info] <0.44.0> Application rabbitmq started on node nonode@nohost
2020-04-21 08:06:19.617 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-21 08:06:19.620 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-21 08:06:19.626 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-21 08:06:19.628 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-21 08:06:19.628 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-21 08:06:19.631 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-21 08:06:19.631 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-21 08:06:19.644 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-21 08:06:19.644 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-21 08:06:19.649 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-21 08:06:19.651 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-21 08:06:19.651 [info] <0.44.0> Application rabbitmq started on node nonode@nohost
2020-04-21 08:06:25.530 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-21 08:06:25.534 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-21 08:06:25.540 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-21 08:06:25.542 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-21 08:06:25.542 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-21 08:06:25.545 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-21 08:06:25.545 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-21 08:06:25.559 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-21 08:06:25.559 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-21 08:06:25.565 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-21 08:06:25.566 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-21 08:06:25.566 [info] <0.44.0> Application rabbitmq started on node nonode@nohost
2020-04-21 08:06:28.216 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-21 08:06:28.220 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-21 08:06:28.226 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-21 08:06:28.227 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-21 08:06:28.228 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-21 08:06:28.230 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-21 08:06:28.231 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-21 08:06:28.244 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-21 08:06:28.245 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-21 08:06:28.251 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-21 08:06:28.253 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-21 08:06:28.253 [info] <0.44.0> Application rabbitmq started on node nonode@nohost
